seq_id	loci
@M05522:50:000000000-BW89L:1:2109:23888:22813	TRB
@M05522:50:000000000-BW89L:1:1101:21570:19277	TRB
@M05522:50:000000000-BW89L:1:1101:14171:10679	TRB
@M05522:50:000000000-BW89L:1:1108:5537:12660	TRA
@M05522:50:000000000-BW89L:1:1114:13242:2854	TRB
@M05522:50:000000000-BW89L:1:1105:18227:10063	TRB
@M05522:50:000000000-BW89L:1:1101:26131:16210	TRB
@M05522:50:000000000-BW89L:1:1101:23727:4647	TRB
@M05522:50:000000000-BW89L:1:2109:10153:10711	TRA
@M05522:50:000000000-BW89L:1:1108:4791:13822	TRA
@M05522:50:000000000-BW89L:1:2107:18306:16451	TRB
@M05522:50:000000000-BW89L:1:1111:21631:26134	TRB
@M05522:50:000000000-BW89L:1:2102:12144:25347	TRB
@M05522:50:000000000-BW89L:1:2105:22019:23810	TRB
@M05522:50:000000000-BW89L:1:1114:21648:3250	TRB
@M05522:50:000000000-BW89L:1:2108:4030:9041	TRB
@M05522:50:000000000-BW89L:1:2104:18171:28029	TRB
@M05522:50:000000000-BW89L:1:1101:19317:5444	TRA
@M05522:50:000000000-BW89L:1:1104:28872:16640	TRB
@M05522:50:000000000-BW89L:1:1110:25468:9966	TRB
@M05522:50:000000000-BW89L:1:2104:9135:16611	TRB
@M05522:50:000000000-BW89L:1:2105:14011:7000	TRA
@M05522:50:000000000-BW89L:1:1114:19385:2675	TRA
@M05522:50:000000000-BW89L:1:1108:19434:28754	TRB
@M05522:50:000000000-BW89L:1:1105:28754:13994	TRB
@M05522:50:000000000-BW89L:1:1112:13703:18473	TRB
@M05522:50:000000000-BW89L:1:2112:7134:19288	TRB
@M05522:50:000000000-BW89L:1:2110:20804:27978	TRB
@M05522:50:000000000-BW89L:1:1113:19322:25566	TRB
@M05522:50:000000000-BW89L:1:2105:27572:21710	TRB
@M05522:50:000000000-BW89L:1:1110:15692:2301	TRB
@M05522:50:000000000-BW89L:1:1112:19695:18154	TRB
@M05522:50:000000000-BW89L:1:2104:20750:5082	TRB
@M05522:50:000000000-BW89L:1:2112:19920:22006	TRB
@M05522:50:000000000-BW89L:1:1109:7750:20210	TRB
@M05522:50:000000000-BW89L:1:2113:16965:25383	TRB
@M05522:50:000000000-BW89L:1:1114:21829:6136	TRB
@M05522:50:000000000-BW89L:1:2103:24041:19254	TRA
@M05522:50:000000000-BW89L:1:2110:24711:17635	TRB
@M05522:50:000000000-BW89L:1:1109:26130:15249	TRB
@M05522:50:000000000-BW89L:1:1114:13413:25164	TRA
@M05522:50:000000000-BW89L:1:1111:13940:16449	TRB
@M05522:50:000000000-BW89L:1:1112:16692:16303	TRB
@M05522:50:000000000-BW89L:1:1113:5367:9269	TRB
@M05522:50:000000000-BW89L:1:2104:12754:25306	TRB
@M05522:50:000000000-BW89L:1:1107:9426:23616	TRB
@M05522:50:000000000-BW89L:1:2109:3665:20996	TRB
@M05522:50:000000000-BW89L:1:2109:28497:10070	TRB
@M05522:50:000000000-BW89L:1:2106:19499:25396	TRB
@M05522:50:000000000-BW89L:1:1109:17580:22127	TRA
@M05522:50:000000000-BW89L:1:2109:20454:25325	TRB
@M05522:50:000000000-BW89L:1:2112:20440:9496	TRB
@M05522:50:000000000-BW89L:1:2105:9107:18979	TRB
