slurm_no	sample_id	start_time	end_time	elapsed_time	status
	S3-10ng_S8			00:00:24	successfully completed
	S1-10ng_S6			00:00:43	successfully completed
	blank_S11			00:00:02	successfully completed
	blank_S12			00:00:01	successfully completed
	S4-10ng_S9			00:00:47	successfully completed
	S2-10ng_S7			00:00:51	successfully completed
	S5-10ng_S10			00:00:30	successfully completed
	S3-10ng_S20			00:00:20	successfully completed
	S1-10ng_S18			00:00:27	successfully completed
	blank_S23			00:00:01	successfully completed
	blank_S24			00:00:01	successfully completed
	S5-10ng_S22			00:00:19	successfully completed
	S4-10ng_S21			00:00:44	successfully completed
	S2-10ng_S19			00:00:56	successfully completed
	S3-10ng_S8			00:00:23	successfully completed
	S1-10ng_S6			00:00:38	successfully completed
	blank_S11			00:00:01	successfully completed
	blank_S12			00:00:01	successfully completed
	S4-10ng_S9			00:00:41	successfully completed
	S2-10ng_S7			00:00:44	successfully completed
	S5-10ng_S10			00:00:25	successfully completed
	S3-10ng_S20			00:00:23	successfully completed
	S1-10ng_S18			00:00:31	successfully completed
	S3-10ng_S8			00:00:21	successfully completed
	S1-10ng_S6			00:00:36	successfully completed
	blank_S11			00:00:01	successfully completed
	blank_S12			00:00:01	successfully completed
	S4-10ng_S9			00:00:38	successfully completed
	S2-10ng_S7			00:00:41	successfully completed
	S5-10ng_S10			00:00:24	successfully completed
	S3-10ng_S20			00:00:19	successfully completed
	S1-10ng_S18			00:00:26	successfully completed
	blank_S23			00:00:01	successfully completed
	blank_S24			00:00:01	successfully completed
	S5-10ng_S22			00:00:19	successfully completed
	S4-10ng_S21			00:00:43	successfully completed
	S2-10ng_S19			00:00:54	successfully completed
	S3-10ng_S8			00:00:25	successfully completed
	S1-10ng_S6			00:00:40	successfully completed
	blank_S11			00:00:01	successfully completed
	blank_S12			00:00:01	successfully completed
	S4-10ng_S9			00:00:43	successfully completed
	S2-10ng_S7			00:00:46	successfully completed
	S5-10ng_S10			00:00:25	successfully completed
	S3-10ng_S20			00:00:22	successfully completed
	S1-10ng_S18			00:00:30	successfully completed
	blank_S23			00:00:01	successfully completed
	blank_S24			00:00:01	successfully completed
	S5-10ng_S22			00:00:19	successfully completed
	S4-10ng_S21			00:00:46	successfully completed
	S2-10ng_S19			00:00:58	successfully completed
	S3-10ng_S8			00:00:22	successfully completed
	S1-10ng_S6			00:00:35	successfully completed
	blank_S11			00:00:01	successfully completed
	blank_S12			00:00:01	successfully completed
	S4-10ng_S9			00:00:38	successfully completed
	S2-10ng_S7			00:00:41	successfully completed
	S5-10ng_S10			00:00:23	successfully completed
	S3-10ng_S20			00:00:17	successfully completed
	S1-10ng_S18			00:00:24	successfully completed
	blank_S23			00:00:01	successfully completed
	blank_S24			00:00:01	successfully completed
	S5-10ng_S22			00:00:17	successfully completed
	S4-10ng_S21			00:00:39	successfully completed
	S2-10ng_S19			00:00:50	successfully completed
