slurm_no	sample_id	start_time	end_time	elapsed_time	status
3	S3-10ng_S8	Fri Feb 08 13:26:06 EST 2019	Fri Feb 08 13:26:17 EST 2019	00:00:10	successfully completed
1	S1-10ng_S6	Fri Feb 08 13:26:06 EST 2019	Fri Feb 08 13:26:26 EST 2019	00:00:19	successfully completed
6	blank_S11	Fri Feb 08 13:26:27 EST 2019	Fri Feb 08 13:26:27 EST 2019	00:00:00	successfully completed
4	S4-10ng_S9	Fri Feb 08 13:26:06 EST 2019	Fri Feb 08 13:26:27 EST 2019	00:00:20	successfully completed
7	blank_S12	Fri Feb 08 13:26:28 EST 2019	Fri Feb 08 13:26:28 EST 2019	00:00:00	successfully completed
2	S2-10ng_S7	Fri Feb 08 13:26:06 EST 2019	Fri Feb 08 13:26:29 EST 2019	00:00:22	successfully completed
5	S5-10ng_S10	Fri Feb 08 13:26:18 EST 2019	Fri Feb 08 13:26:31 EST 2019	00:00:13	successfully completed
10	S3-10ng_S20	Fri Feb 08 13:26:30 EST 2019	Fri Feb 08 13:26:40 EST 2019	00:00:09	successfully completed
8	S1-10ng_S18	Fri Feb 08 13:26:28 EST 2019	Fri Feb 08 13:26:42 EST 2019	00:00:13	successfully completed
13	blank_S23	Fri Feb 08 13:26:43 EST 2019	Fri Feb 08 13:26:43 EST 2019	00:00:00	successfully completed
14	blank_S24	Fri Feb 08 13:26:44 EST 2019	Fri Feb 08 13:26:44 EST 2019	00:00:00	successfully completed
12	S5-10ng_S22	Fri Feb 08 13:26:41 EST 2019	Fri Feb 08 13:26:51 EST 2019	00:00:09	successfully completed
11	S4-10ng_S21	Fri Feb 08 13:26:32 EST 2019	Fri Feb 08 13:26:55 EST 2019	00:00:22	successfully completed
9	S2-10ng_S19	Fri Feb 08 13:26:29 EST 2019	Fri Feb 08 13:26:58 EST 2019	00:00:28	successfully completed
3	S3-10ng_S8	Fri Feb 08 15:14:34 EST 2019	Fri Feb 08 15:14:45 EST 2019	00:00:11	successfully completed
1	S1-10ng_S6	Fri Feb 08 15:14:34 EST 2019	Fri Feb 08 15:14:55 EST 2019	00:00:20	successfully completed
6	blank_S11	Fri Feb 08 15:14:56 EST 2019	Fri Feb 08 15:14:56 EST 2019	00:00:00	successfully completed
4	S4-10ng_S9	Fri Feb 08 15:14:34 EST 2019	Fri Feb 08 15:14:56 EST 2019	00:00:22	successfully completed
7	blank_S12	Fri Feb 08 15:14:57 EST 2019	Fri Feb 08 15:14:57 EST 2019	00:00:00	successfully completed
2	S2-10ng_S7	Fri Feb 08 15:14:34 EST 2019	Fri Feb 08 15:14:58 EST 2019	00:00:24	successfully completed
5	S5-10ng_S10	Fri Feb 08 15:14:46 EST 2019	Fri Feb 08 15:15:00 EST 2019	00:00:13	successfully completed
10	S3-10ng_S20	Fri Feb 08 15:14:59 EST 2019	Fri Feb 08 15:15:09 EST 2019	00:00:09	successfully completed
8	S1-10ng_S18	Fri Feb 08 15:14:57 EST 2019	Fri Feb 08 15:15:12 EST 2019	00:00:14	successfully completed
13	blank_S23	Fri Feb 08 15:15:13 EST 2019	Fri Feb 08 15:15:13 EST 2019	00:00:00	successfully completed
14	blank_S24	Fri Feb 08 15:15:14 EST 2019	Fri Feb 08 15:15:14 EST 2019	00:00:00	successfully completed
12	S5-10ng_S22	Fri Feb 08 15:15:10 EST 2019	Fri Feb 08 15:15:22 EST 2019	00:00:11	successfully completed
11	S4-10ng_S21	Fri Feb 08 15:15:01 EST 2019	Fri Feb 08 15:15:28 EST 2019	00:00:26	successfully completed
9	S2-10ng_S19	Fri Feb 08 15:14:58 EST 2019	Fri Feb 08 15:15:30 EST 2019	00:00:32	successfully completed
3	S3-10ng_S8	Fri Feb 08 15:30:41 EST 2019	Fri Feb 08 15:30:51 EST 2019	00:00:09	successfully completed
1	S1-10ng_S6	Fri Feb 08 15:30:41 EST 2019	Fri Feb 08 15:30:59 EST 2019	00:00:17	successfully completed
6	blank_S11	Fri Feb 08 15:31:00 EST 2019	Fri Feb 08 15:31:00 EST 2019	00:00:00	successfully completed
4	S4-10ng_S9	Fri Feb 08 15:30:41 EST 2019	Fri Feb 08 15:31:01 EST 2019	00:00:19	successfully completed
7	blank_S12	Fri Feb 08 15:31:02 EST 2019	Fri Feb 08 15:31:02 EST 2019	00:00:00	successfully completed
2	S2-10ng_S7	Fri Feb 08 15:30:41 EST 2019	Fri Feb 08 15:31:03 EST 2019	00:00:21	successfully completed
5	S5-10ng_S10	Fri Feb 08 15:30:52 EST 2019	Fri Feb 08 15:31:05 EST 2019	00:00:13	successfully completed
10	S3-10ng_S20	Fri Feb 08 15:31:04 EST 2019	Fri Feb 08 15:31:13 EST 2019	00:00:08	successfully completed
8	S1-10ng_S18	Fri Feb 08 15:31:02 EST 2019	Fri Feb 08 15:31:15 EST 2019	00:00:13	successfully completed
13	blank_S23	Fri Feb 08 15:31:17 EST 2019	Fri Feb 08 15:31:17 EST 2019	00:00:00	successfully completed
14	blank_S24	Fri Feb 08 15:31:18 EST 2019	Fri Feb 08 15:31:18 EST 2019	00:00:00	successfully completed
12	S5-10ng_S22	Fri Feb 08 15:31:14 EST 2019	Fri Feb 08 15:31:25 EST 2019	00:00:10	successfully completed
11	S4-10ng_S21	Fri Feb 08 15:31:06 EST 2019	Fri Feb 08 15:31:30 EST 2019	00:00:23	successfully completed
9	S2-10ng_S19	Fri Feb 08 15:31:03 EST 2019	Fri Feb 08 15:31:32 EST 2019	00:00:29	successfully completed
3	S3-10ng_S8	Fri Feb 08 15:45:25 EST 2019	Fri Feb 08 15:45:34 EST 2019	00:00:09	successfully completed
1	S1-10ng_S6	Fri Feb 08 15:45:25 EST 2019	Fri Feb 08 15:45:42 EST 2019	00:00:17	successfully completed
6	blank_S11	Fri Feb 08 15:45:43 EST 2019	Fri Feb 08 15:45:43 EST 2019	00:00:00	successfully completed
4	S4-10ng_S9	Fri Feb 08 15:45:25 EST 2019	Fri Feb 08 15:45:44 EST 2019	00:00:19	successfully completed
7	blank_S12	Fri Feb 08 15:45:44 EST 2019	Fri Feb 08 15:45:44 EST 2019	00:00:00	successfully completed
2	S2-10ng_S7	Fri Feb 08 15:45:25 EST 2019	Fri Feb 08 15:45:45 EST 2019	00:00:20	successfully completed
5	S5-10ng_S10	Fri Feb 08 15:45:35 EST 2019	Fri Feb 08 15:45:47 EST 2019	00:00:12	successfully completed
10	S3-10ng_S20	Fri Feb 08 15:45:46 EST 2019	Fri Feb 08 15:45:55 EST 2019	00:00:08	successfully completed
8	S1-10ng_S18	Fri Feb 08 15:45:45 EST 2019	Fri Feb 08 15:45:57 EST 2019	00:00:12	successfully completed
13	blank_S23	Fri Feb 08 15:45:58 EST 2019	Fri Feb 08 15:45:58 EST 2019	00:00:00	successfully completed
14	blank_S24	Fri Feb 08 15:45:59 EST 2019	Fri Feb 08 15:45:59 EST 2019	00:00:00	successfully completed
12	S5-10ng_S22	Fri Feb 08 15:45:56 EST 2019	Fri Feb 08 15:46:05 EST 2019	00:00:09	successfully completed
11	S4-10ng_S21	Fri Feb 08 15:45:48 EST 2019	Fri Feb 08 15:46:09 EST 2019	00:00:21	successfully completed
9	S2-10ng_S19	Fri Feb 08 15:45:45 EST 2019	Fri Feb 08 15:46:11 EST 2019	00:00:26	successfully completed
