slurm_no	sample_id	start_time	end_time	elapsed_time	status
1	S1-10ng_S6_TRA			00:01:17	successfully completed
3	S2-10ng_S7_TRA			00:01:29	successfully completed
4	S2-10ng_S7_TRB			00:02:05	successfully completed
5	S3-10ng_S8_TRA			00:00:54	successfully completed
2	S1-10ng_S6_TRB			00:02:15	successfully completed
6	S3-10ng_S8_TRB			00:01:31	successfully completed
9	S5-10ng_S10_TRA			00:01:00	successfully completed
7	S4-10ng_S9_TRA			00:01:20	successfully completed
11	blank_S11_TRA			00:00:33	successfully completed
12	blank_S11_TRB			00:00:31	successfully completed
8	S4-10ng_S9_TRB			00:01:52	successfully completed
13	blank_S12_TRB			00:00:32	successfully completed
10	S5-10ng_S10_TRB			00:01:24	successfully completed
14	S1-10ng_S18_TRA			00:00:57	successfully completed
18	S3-10ng_S20_TRA			00:00:45	successfully completed
15	S1-10ng_S18_TRB			00:01:42	successfully completed
16	S2-10ng_S19_TRA			00:01:26	successfully completed
17	S2-10ng_S19_TRB			00:02:36	successfully completed
20	S4-10ng_S21_TRA			00:01:28	successfully completed
19	S3-10ng_S20_TRB			00:01:36	successfully completed
24	blank_S23_TRA			00:00:32	successfully completed
21	S4-10ng_S21_TRB			00:02:08	successfully completed
22	S5-10ng_S22_TRA			00:00:54	successfully completed
25	blank_S24_TRA			00:00:25	successfully completed
26	blank_S24_TRB			00:00:22	successfully completed
23	S5-10ng_S22_TRB			00:01:05	successfully completed
2	S1-10ng_S6	Fri Feb 08 13:35:44 EST 2019	Fri Feb 08 13:35:44 EST 2019	00:00:00	successfully completed
4	S2-10ng_S7	Fri Feb 08 13:35:44 EST 2019	Fri Feb 08 13:35:44 EST 2019	00:00:00	successfully completed
6	S3-10ng_S8	Fri Feb 08 13:35:45 EST 2019	Fri Feb 08 13:35:45 EST 2019	00:00:00	successfully completed
8	S4-10ng_S9	Fri Feb 08 13:35:45 EST 2019	Fri Feb 08 13:35:46 EST 2019	00:00:00	successfully completed
10	S5-10ng_S10	Fri Feb 08 13:35:47 EST 2019	Fri Feb 08 13:35:47 EST 2019	00:00:00	successfully completed
12	blank_S11	Fri Feb 08 13:35:47 EST 2019	Fri Feb 08 13:35:47 EST 2019	00:00:00	successfully completed
13	blank_S12	Fri Feb 08 13:35:48 EST 2019	Fri Feb 08 13:35:48 EST 2019	00:00:00	successfully completed
15	S1-10ng_S18	Fri Feb 08 13:35:48 EST 2019	Fri Feb 08 13:35:48 EST 2019	00:00:00	successfully completed
17	S2-10ng_S19	Fri Feb 08 13:35:49 EST 2019	Fri Feb 08 13:35:49 EST 2019	00:00:00	successfully completed
19	S3-10ng_S20	Fri Feb 08 13:35:49 EST 2019	Fri Feb 08 13:35:49 EST 2019	00:00:00	successfully completed
21	S4-10ng_S21	Fri Feb 08 13:35:50 EST 2019	Fri Feb 08 13:35:50 EST 2019	00:00:00	successfully completed
23	S5-10ng_S22	Fri Feb 08 13:35:50 EST 2019	Fri Feb 08 13:35:50 EST 2019	00:00:00	successfully completed
26	blank_S24	Fri Feb 08 13:35:51 EST 2019	Fri Feb 08 13:35:51 EST 2019	00:00:00	successfully completed
1	S1-10ng_S6_TRA			00:01:18	successfully completed
3	S2-10ng_S7_TRA			00:01:25	successfully completed
4	S2-10ng_S7_TRB			00:02:01	successfully completed
5	S3-10ng_S8_TRA			00:00:50	successfully completed
2	S1-10ng_S6_TRB			00:02:08	successfully completed
6	S3-10ng_S8_TRB			00:01:25	successfully completed
9	S5-10ng_S10_TRA			00:00:59	successfully completed
7	S4-10ng_S9_TRA			00:01:11	successfully completed
11	blank_S11_TRA			00:00:32	successfully completed
12	blank_S11_TRB			00:00:32	successfully completed
8	S4-10ng_S9_TRB			00:02:02	successfully completed
13	blank_S12_TRB			00:00:34	successfully completed
10	S5-10ng_S10_TRB			00:01:38	successfully completed
14	S1-10ng_S18_TRA			00:01:06	successfully completed
18	S3-10ng_S20_TRA			00:00:56	successfully completed
16	S2-10ng_S19_TRA			00:01:44	successfully completed
15	S1-10ng_S18_TRB			00:01:50	successfully completed
17	S2-10ng_S19_TRB			00:02:44	successfully completed
19	S3-10ng_S20_TRB			00:01:28	successfully completed
20	S4-10ng_S21_TRA			00:01:32	successfully completed
24	blank_S23_TRA			00:00:32	successfully completed
22	S5-10ng_S22_TRA			00:00:50	successfully completed
21	S4-10ng_S21_TRB			00:02:04	successfully completed
25	blank_S24_TRA			00:00:24	successfully completed
26	blank_S24_TRB			00:00:24	successfully completed
23	S5-10ng_S22_TRB			00:01:13	successfully completed
4	S2-10ng_S7	Fri Feb 08 15:24:29 EST 2019	Fri Feb 08 15:24:29 EST 2019	00:00:00	successfully completed
2	S1-10ng_S6	Fri Feb 08 15:24:29 EST 2019	Fri Feb 08 15:24:29 EST 2019	00:00:00	successfully completed
6	S3-10ng_S8	Fri Feb 08 15:24:30 EST 2019	Fri Feb 08 15:24:30 EST 2019	00:00:00	successfully completed
8	S4-10ng_S9	Fri Feb 08 15:24:30 EST 2019	Fri Feb 08 15:24:30 EST 2019	00:00:00	successfully completed
10	S5-10ng_S10	Fri Feb 08 15:24:31 EST 2019	Fri Feb 08 15:24:31 EST 2019	00:00:00	successfully completed
12	blank_S11	Fri Feb 08 15:24:32 EST 2019	Fri Feb 08 15:24:32 EST 2019	00:00:00	successfully completed
13	blank_S12	Fri Feb 08 15:24:33 EST 2019	Fri Feb 08 15:24:33 EST 2019	00:00:00	successfully completed
15	S1-10ng_S18	Fri Feb 08 15:24:33 EST 2019	Fri Feb 08 15:24:33 EST 2019	00:00:00	successfully completed
17	S2-10ng_S19	Fri Feb 08 15:24:34 EST 2019	Fri Feb 08 15:24:34 EST 2019	00:00:00	successfully completed
19	S3-10ng_S20	Fri Feb 08 15:24:34 EST 2019	Fri Feb 08 15:24:34 EST 2019	00:00:00	successfully completed
21	S4-10ng_S21	Fri Feb 08 15:24:35 EST 2019	Fri Feb 08 15:24:35 EST 2019	00:00:00	successfully completed
23	S5-10ng_S22	Fri Feb 08 15:24:35 EST 2019	Fri Feb 08 15:24:36 EST 2019	00:00:00	successfully completed
26	blank_S24	Fri Feb 08 15:24:36 EST 2019	Fri Feb 08 15:24:36 EST 2019	00:00:00	successfully completed
1	S1-10ng_S6_TRA			00:01:09	successfully completed
3	S2-10ng_S7_TRA			00:01:20	successfully completed
2	S1-10ng_S6_TRB			00:01:58	successfully completed
5	S3-10ng_S8_TRA			00:00:50	successfully completed
4	S2-10ng_S7_TRB			00:02:01	successfully completed
6	S3-10ng_S8_TRB			00:01:24	successfully completed
9	S5-10ng_S10_TRA			00:00:54	successfully completed
7	S4-10ng_S9_TRA			00:01:08	successfully completed
11	blank_S11_TRA			00:00:31	successfully completed
8	S4-10ng_S9_TRB			00:01:34	successfully completed
12	blank_S11_TRB			00:00:28	successfully completed
13	blank_S12_TRB			00:00:34	successfully completed
10	S5-10ng_S10_TRB			00:01:29	successfully completed
14	S1-10ng_S18_TRA			00:00:56	successfully completed
