slurm_no	sample_id	start_time	end_time	elapsed_time	status
11	blank_S11	Fri Feb 08 13:36:10 EST 2019	Fri Feb 08 13:36:10 EST 2019	00:00:00	successfully completed
12	blank_S11	Fri Feb 08 13:36:11 EST 2019	Fri Feb 08 13:36:11 EST 2019	00:00:00	successfully completed
13	blank_S12	Fri Feb 08 13:36:11 EST 2019	Fri Feb 08 13:36:11 EST 2019	00:00:00	successfully completed
24	blank_S23	Fri Feb 08 13:36:33 EST 2019	Fri Feb 08 13:36:34 EST 2019	00:00:00	successfully completed
25	blank_S24	Fri Feb 08 13:36:35 EST 2019	Fri Feb 08 13:36:35 EST 2019	00:00:00	successfully completed
26	blank_S24	Fri Feb 08 13:36:36 EST 2019	Fri Feb 08 13:36:36 EST 2019	00:00:00	successfully completed
11	blank_S11	Fri Feb 08 15:24:56 EST 2019	Fri Feb 08 15:24:56 EST 2019	00:00:00	successfully completed
12	blank_S11	Fri Feb 08 15:24:57 EST 2019	Fri Feb 08 15:24:57 EST 2019	00:00:00	successfully completed
13	blank_S12	Fri Feb 08 15:24:57 EST 2019	Fri Feb 08 15:24:57 EST 2019	00:00:00	successfully completed
24	blank_S23	Fri Feb 08 15:25:19 EST 2019	Fri Feb 08 15:25:19 EST 2019	00:00:00	successfully completed
25	blank_S24	Fri Feb 08 15:25:20 EST 2019	Fri Feb 08 15:25:20 EST 2019	00:00:00	successfully completed
26	blank_S24	Fri Feb 08 15:25:21 EST 2019	Fri Feb 08 15:25:21 EST 2019	00:00:00	successfully completed
11	blank_S11	Fri Feb 08 15:40:44 EST 2019	Fri Feb 08 15:40:44 EST 2019	00:00:00	successfully completed
12	blank_S11	Fri Feb 08 15:40:45 EST 2019	Fri Feb 08 15:40:45 EST 2019	00:00:00	successfully completed
13	blank_S12	Fri Feb 08 15:40:45 EST 2019	Fri Feb 08 15:40:45 EST 2019	00:00:00	successfully completed
24	blank_S23	Fri Feb 08 15:41:05 EST 2019	Fri Feb 08 15:41:05 EST 2019	00:00:00	successfully completed
25	blank_S24	Fri Feb 08 15:41:06 EST 2019	Fri Feb 08 15:41:06 EST 2019	00:00:00	successfully completed
26	blank_S24	Fri Feb 08 15:41:07 EST 2019	Fri Feb 08 15:41:07 EST 2019	00:00:00	successfully completed
1	S1-10ng_S6	Fri Feb 08 15:54:31 EST 2019	Fri Feb 08 15:54:36 EST 2019	00:00:04	successfully completed
3	S2-10ng_S7	Fri Feb 08 15:54:31 EST 2019	Fri Feb 08 15:54:39 EST 2019	00:00:08	successfully completed
5	S3-10ng_S8	Fri Feb 08 15:54:37 EST 2019	Fri Feb 08 15:54:40 EST 2019	00:00:02	successfully completed
7	S4-10ng_S9	Fri Feb 08 15:54:41 EST 2019	Fri Feb 08 15:54:47 EST 2019	00:00:05	successfully completed
6	S3-10ng_S8	Fri Feb 08 15:54:41 EST 2019	Fri Feb 08 15:54:56 EST 2019	00:00:15	successfully completed
9	S5-10ng_S10	Fri Feb 08 15:54:57 EST 2019	Fri Feb 08 15:54:59 EST 2019	00:00:02	successfully completed
4	S2-10ng_S7	Fri Feb 08 15:54:31 EST 2019	Fri Feb 08 15:55:17 EST 2019	00:00:45	successfully completed
11	blank_S11	Fri Feb 08 15:55:18 EST 2019	Fri Feb 08 15:55:18 EST 2019	00:00:00	successfully completed
12	blank_S11	Fri Feb 08 15:55:19 EST 2019	Fri Feb 08 15:55:19 EST 2019	00:00:00	successfully completed
13	blank_S12	Fri Feb 08 15:55:20 EST 2019	Fri Feb 08 15:55:20 EST 2019	00:00:00	successfully completed
10	S5-10ng_S10	Fri Feb 08 15:55:01 EST 2019	Fri Feb 08 15:55:21 EST 2019	00:00:20	successfully completed
2	S1-10ng_S6	Fri Feb 08 15:54:31 EST 2019	Fri Feb 08 15:55:23 EST 2019	00:00:51	successfully completed
14	S1-10ng_S18	Fri Feb 08 15:55:22 EST 2019	Fri Feb 08 15:55:25 EST 2019	00:00:03	successfully completed
