slurm_no	sample_id	start_time	end_time	elapsed_time	status
3	S3-10ng_S8	Fri Feb 08 13:27:00 EST 2019	Fri Feb 08 13:27:04 EST 2019	00:00:03	successfully completed
1	S1-10ng_S6	Fri Feb 08 13:27:00 EST 2019	Fri Feb 08 13:27:08 EST 2019	00:00:07	successfully completed
6	blank_S11	Fri Feb 08 13:27:09 EST 2019	Fri Feb 08 13:27:09 EST 2019	00:00:00	successfully completed
4	S4-10ng_S9	Fri Feb 08 13:27:00 EST 2019	Fri Feb 08 13:27:09 EST 2019	00:00:09	successfully completed
2	S2-10ng_S7	Fri Feb 08 13:27:00 EST 2019	Fri Feb 08 13:27:09 EST 2019	00:00:09	successfully completed
7	blank_S12	Fri Feb 08 13:27:10 EST 2019	Fri Feb 08 13:27:10 EST 2019	00:00:00	successfully completed
5	S5-10ng_S10	Fri Feb 08 13:27:05 EST 2019	Fri Feb 08 13:27:11 EST 2019	00:00:05	successfully completed
10	S3-10ng_S20	Fri Feb 08 13:27:11 EST 2019	Fri Feb 08 13:27:14 EST 2019	00:00:03	successfully completed
8	S1-10ng_S18	Fri Feb 08 13:27:10 EST 2019	Fri Feb 08 13:27:15 EST 2019	00:00:04	successfully completed
13	blank_S23	Fri Feb 08 13:27:16 EST 2019	Fri Feb 08 13:27:16 EST 2019	00:00:00	successfully completed
14	blank_S24	Fri Feb 08 13:27:17 EST 2019	Fri Feb 08 13:27:17 EST 2019	00:00:00	successfully completed
12	S5-10ng_S22	Fri Feb 08 13:27:15 EST 2019	Fri Feb 08 13:27:20 EST 2019	00:00:04	successfully completed
11	S4-10ng_S21	Fri Feb 08 13:27:12 EST 2019	Fri Feb 08 13:27:21 EST 2019	00:00:09	successfully completed
9	S2-10ng_S19	Fri Feb 08 13:27:10 EST 2019	Fri Feb 08 13:27:22 EST 2019	00:00:11	successfully completed
3	S3-10ng_S8	Fri Feb 08 15:15:33 EST 2019	Fri Feb 08 15:15:37 EST 2019	00:00:04	successfully completed
1	S1-10ng_S6	Fri Feb 08 15:15:33 EST 2019	Fri Feb 08 15:15:41 EST 2019	00:00:07	successfully completed
4	S4-10ng_S9	Fri Feb 08 15:15:33 EST 2019	Fri Feb 08 15:15:42 EST 2019	00:00:08	successfully completed
