v_hit,Count
TRAV1-1,0
TRAV1-2,1
TRAV10,13
TRAV12-1,103
TRAV12-2,109
TRAV12-3,78
TRAV13-1,123
TRAV13-2,54
TRAV14DV4,80
TRAV16,49
TRAV17,72
TRAV18,0
TRAV19,40
TRAV2,65
TRAV20,61
TRAV21,33
TRAV22,20
TRAV23DV6,44
TRAV24,8
TRAV25,28
TRAV26-1,66
TRAV26-2,39
TRAV27,42
TRAV29DV5,49
TRAV3,51
TRAV30,11
TRAV34,13
TRAV35,28
TRAV36DV7,20
TRAV38-1,32
TRAV38-2DV8,66
TRAV39,9
TRAV4,31
TRAV40,0
TRAV41,45
TRAV5,25
TRAV6,13
TRAV7,0
TRAV8-1,14
TRAV8-2,7
TRAV8-3,63
TRAV8-4,9
TRAV8-6,8
TRAV9-1,0
TRAV9-2,87
Total,1709
