v_hit,Count
TRBV10-1,33
TRBV10-2,35
TRBV10-3,97
TRBV11-1,37
TRBV11-2,238
TRBV11-3,43
TRBV12-2,0
TRBV12-3/4,435
TRBV12-5,39
TRBV13,34
TRBV14,85
TRBV15,51
TRBV16,14
TRBV18,268
TRBV19,376
TRBV2,342
TRBV20-1,526
TRBV24-1,42
TRBV25-1,20
TRBV27,106
TRBV28,527
TRBV29-1,578
TRBV3-1,361
TRBV3-2,0
TRBV30,182
TRBV4-1,198
TRBV4-2,56
TRBV4-3,1
TRBV5-1,708
TRBV5-4,142
TRBV5-5,79
TRBV5-6,163
TRBV5-7,0
TRBV5-8,17
TRBV6-1,139
TRBV6-2/3/5/6,472
TRBV6-4,44
TRBV6-7,0
TRBV6-8,0
TRBV6-9,1
TRBV7-2,274
TRBV7-3,181
TRBV7-4,1
TRBV7-5,0
TRBV7-6,72
TRBV7-7,9
TRBV7-8,74
TRBV7-9,460
TRBV9,107
Total,7667
