Primer Name	5' Position	Genes Amplified			
AV01	60	TRAV1-1	TRAV1-2		
AV02	198	TRAV2			
AV03	164	TRAV3			
AV04	195	TRAV4			
AV05	218	TRAV5			
AV06	184	TRAV6			
AV07	229	TRAV7			
AV08-1	119	TRAV8-1			
AV08-2/4/6	124	TRAV8-2	TRAV8-4	TRAV8-6	
AV08-3	229	TRAV8-3			
AV9	204	TRAV9-1	TRAV9-2		
AV10	206	TRAV10			
AV12	239	TRAV12-1	TRAV12-2	TRAV12-3	
AV13-1	199	TRAV13-1			
AV13-2	230	TRAV13-2			
AV14	226	TRAV14/DV4			
AV16	195	TRAV16			
AV17	185	TRAV17			
AV18	206	TRAV18			
AV19	236	TRAV19			
AV20	216	TRAV20			
AV21	226	TRAV21			
AV22	222	TRAV22			
AV23	234	TRAV23/DV6			
AV24	224	TRAV24			
AV25	231	TRAV25			
AV26-1	230	TRAV26-1			
AV26-2	184	TRAV26-2			
AV27	200	TRAV27			
AV29	245	TRAV29/DV5			
AV30	206	TRAV30			
AV34	241	TRAV34			
AV35	231	TRAV35			
AV36	213	TRAV36/DV7			
AV38	210	TRAV38-1	TRAV38-2/DV8		
AV39	238	TRAV39			
AV40	199	TRAV40			
AV41	229	TRAV41			
BV02	227	TRBV2			
BV03	233	TRBV3-1			
BV04	190	TRBV4-1	TRBV4-2	TRBV4-3	
BV05-1	216	TRBV5-1			
BV05-4/5/6/8	218	TRBV5-4	TRBV5-5	TRBV5-6	TRBV5-8
BV06-1to6	255	TRBV6-1	TRBV6-2/3/5/6	TRBV6-4	
BV06-8/9	97	TRBV6-8	TRBV6-9		
BV07-2/6	221	TRBV7-2	TRBV7-6		
BV07-3	223	TRBV7-3			
BV07-4/6/7	189	TRBV7-4	TRBV7-6	TRBV7-7	
BV07-8	213	TRBV7-8			
BV07-9	222	TRBV7-9			
BV09	185	TRBV9			
BV10-1	224	TRBV10-1			
BV10-2	222	TRBV10-2			
BV10-3	240	TRBV10-3			
BV11	204	TRBV11-1	TRBV11-2	TRBV11-3	
BV12	234	TRBV12-3/4	TRBV12-5		
BV13	222	TRBV13			
BV14	223	TRBV14			
BV15	197	TRBV15			
BV16	243	TRBV16			
BV18	223	TRBV18			
BV19	242	TRBV19			
BV20	245	TRBV20-1			
BV24	220	TRBV24-1			
BV25	192	TRBV25-1			
BV27	245	TRBV27			
BV28	241	TRBV28			
BV29	239	TRBV29-1			
BV30	189	TRBV30			
